Hour,Wind Generation,Solar Generation
0.0,0.0,0.036148
1.0,0.0,0.044576000000000005
2.0,0.0,0.023800000000000005
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,15.43756583403359,0.038528
7.0,10.625045310873322,0.17460800000000004
8.0,7.718782917016794,17.719044
9.0,7.531282117413149,66.68309199999999
10.0,5.937525320782151,110.932444
11.0,9.093788780776872,142.20502800000003
12.0,11.625049575426102,154.77742
13.0,10.312543978200576,158.585252
14.0,10.250043711666029,136.60992800000002
15.0,10.656295444140596,106.38417999999999
16.0,11.843800508297026,51.088660000000004
17.0,13.343806905126199,13.333488000000001
18.0,13.406307171660748,0.099876
19.0,14.8125631686881,0.011676000000000002
20.0,12.375052773840691,0.013412
21.0,14.625062369084453,0.021196000000000003
22.0,9.78129171265691,0.01904
23.0,11.375048509287907,0.020776000000000003
0.0,6.625028252662188,0.011676000000000002
1.0,2.8125119940547023,0.0
2.0,4.250018124349329,0.012544000000000001
3.0,3.5000149259347415,0.029008
4.0,1.2812554639582538,0.033124
5.0,2.218759461976487,0.03528
6.0,0.9687541312855088,0.038528
7.0,1.6250069298982726,0.231952
8.0,5.656274121376678,14.348544000000002
9.0,8.281285315827736,56.468356
10.0,10.812546110476967,76.55516399999999
11.0,14.343811169678983,97.68222800000001
12.0,15.562566367102688,117.03868399999999
13.0,9.093788780776872,126.97756400000002
14.0,10.312543978200576,134.057728
15.0,8.750037314836852,108.076024
16.0,6.875029318800384,51.31308
17.0,7.031279985136757,11.03536
18.0,7.3437813178095,0.159544
19.0,6.562527986127638,0.019264
20.0,4.7812703898929945,0.016436000000000003
21.0,5.812524787713053,0.022512
22.0,7.68753278374952,0.023576
23.0,6.875029318800384,0.006272000000000001
0.0,6.562527986127638,0.022932
1.0,4.750020256625718,0.03701600000000001
2.0,3.7500159920729375,0.04264400000000001
3.0,3.1250133267274474,0.045248
4.0,4.687519990091171,0.0091
5.0,3.687515725538387,0.002604
6.0,2.5312607946492327,0.029876
7.0,0.125000533069098,0.279748
8.0,0.0,11.597992
9.0,0.03125013326727381,47.571944
10.0,0.0,78.00699200000001
11.0,3.875016525142035,93.60083600000002
12.0,6.031275720583973,116.55985599999998
13.0,6.50002771959309,98.21352800000001
14.0,7.781283183551344,103.484556
15.0,9.812541845924184,84.104804
16.0,10.4062943780024,64.258796
17.0,8.812537581371402,12.85606
18.0,8.343785582362285,0.095144
19.0,7.500031984145875,0.017079999999999998
20.0,4.750020256625718,0.024444000000000004
21.0,1.8437578627691935,0.029652
22.0,0.0,0.018592
23.0,0.0,0.024024
0.0,0.0,0.015792
1.0,0.0,0.0
2.0,0.0,0.02142
3.0,0.0,0.023156000000000003
4.0,0.0,0.022708000000000002
5.0,0.0,0.021644
6.0,0.0,0.019460000000000005
7.0,0.0,0.107072
8.0,0.0,2.196768
9.0,0.0,39.41081200000001
10.0,0.0,87.83124000000001
11.0,0.0,109.929064
12.0,0.0,146.95632000000003
13.0,0.0,135.6628
14.0,0.0,133.943628
15.0,0.0,103.95086800000001
16.0,0.0,59.33508000000001
17.0,0.0,16.819740000000003
18.0,11.343798376020633,0.127764
19.0,12.375052773840691,0.010164000000000001
20.0,10.250043711666029,0.014504
21.0,6.187526386920347,0.021196000000000003
22.0,1.6875071964328217,0.024892000000000004
23.0,0.0,0.017079999999999998
0.0,0.0,0.012320000000000001
1.0,0.0,0.019460000000000005
2.0,0.0,0.023800000000000005
3.0,0.0,0.019908000000000002
4.0,0.0,0.017304
5.0,0.0,0.012124000000000001
6.0,0.0,0.017304
7.0,0.0,0.024444000000000004
8.0,0.0,1.3153280000000003
9.0,0.0,3.972388
10.0,0.0,9.45322
11.0,0.0,12.905451999999999
12.0,0.0,13.493452
13.0,0.0,13.244336000000002
14.0,0.0,25.958436000000003
15.0,1.8750079960364687,72.43868800000001
16.0,1.2500053306909786,27.472339999999996
17.0,1.5937567966309976,14.9219
18.0,3.1250133267274474,0.3956120000000001
19.0,4.687519990091171,0.014504
20.0,5.656274121376678,0.016016000000000002
21.0,8.9375381144405,0.01666
22.0,11.156297576416987,0.018395999999999996
23.0,12.718804239780711,0.027692000000000005
0.0,11.8750506415643,0.027496
1.0,8.25003518256046,0.034412
2.0,7.281281051274952,0.04090800000000001
3.0,9.875042112458734,0.005852
4.0,10.312543978200576,0.00022400000000000002
5.0,10.4062943780024,0.015596000000000002
6.0,8.531286381965932,0.015372
7.0,7.2500309180076785,0.14389200000000002
8.0,6.000025587316699,4.189836000000001
9.0,5.562523721574856,16.589328000000002
10.0,4.187517857814779,33.159224
11.0,0.3437514659400188,12.049604
12.0,0.0,8.134728
13.0,2.687511460985604,23.26632
14.0,0.0,69.534304
15.0,0.0,7.075908
16.0,0.0,8.328796
17.0,0.0,3.5138320000000003
18.0,4.187517857814779,0.13566
19.0,3.4375146594001906,0.013636000000000002
20.0,0.0,0.020552000000000004
21.0,0.0,0.01862
22.0,0.0,0.015148000000000003
23.0,0.0,0.024892000000000004
0.0,0.0,0.017304
1.0,0.0,0.01428
2.0,5.593773854842131,0.01624
3.0,11.343798376020633,0.011256
4.0,12.406302907107966,0.018395999999999996
5.0,12.906305039384357,0.021868000000000002
6.0,11.59379944215883,0.019264
7.0,10.312543978200576,0.180908
8.0,9.093788780776872,15.728076000000001
9.0,7.06253011840403,62.390468000000006
10.0,3.5000149259347415,109.703496
11.0,2.1875093287092136,126.055524
12.0,3.6562655922711134,139.17358000000002
13.0,6.750028785731287,161.12734400000002
14.0,4.375018657418427,141.823948
