hour,load
0.0,80.78077961244793
1.0,77.09828759852333
2.0,78.09982541477882
3.0,79.71977197528707
4.0,83.21781679241789
5.0,96.10027268586144
6.0,131.43439005308582
7.0,143.0158547597332
8.0,132.05673152264987
9.0,117.68956665772423
10.0,122.08103829795753
11.0,104.23282406688344
12.0,93.40447564349617
13.0,86.79219180584754
14.0,81.56389924232248
15.0,84.31634235360107
16.0,99.88026720550114
17.0,140.0200249652887
18.0,149.28384642604104
19.0,147.491142915201
20.0,138.9635967017126
21.0,129.51602209952674
22.0,112.74457320618168
23.0,95.8246167813863
0.0,78.97252294507747
1.0,74.61571109624298
2.0,74.53673923413452
3.0,76.5905879522035
4.0,80.48471381093113
5.0,92.34915366332693
6.0,128.53495847575698
7.0,134.7095198572056
8.0,123.2931203837347
9.0,106.88615301115455
10.0,112.94382028408056
11.0,95.9868194177082
12.0,84.972258123521
13.0,78.9045565415299
14.0,76.88674086979785
15.0,82.12471964361187
16.0,97.9056847510174
17.0,138.55768139729702
18.0,145.35094903692038
19.0,143.60919646561325
20.0,136.13079562776406
21.0,128.67235321480993
22.0,113.53326630037682
23.0,100.18477361923229
0.0,86.77525170657084
1.0,82.81825199953094
2.0,83.95388542500534
3.0,86.83711667050383
4.0,91.43697876970342
5.0,103.1077331069968
6.0,136.16716258112695
7.0,147.22728239973827
8.0,135.95537262073975
9.0,120.0013995952182
10.0,128.84891864931217
11.0,111.81648176196403
12.0,99.83163794177979
13.0,94.1280361623541
14.0,91.51994868700916
15.0,95.01344082754994
16.0,110.89070861087265
17.0,156.59862038910038
18.0,159.710835596258
19.0,156.45464214284735
20.0,148.93278055877457
21.0,142.79243630940448
22.0,127.8422620672968
23.0,114.41265099292742
0.0,101.6629547546723
1.0,98.2044691609919
2.0,99.11536153152156
3.0,102.50355570417747
4.0,106.92428165194684
5.0,118.21125873674706
6.0,163.066917747972
7.0,167.15781478985008
8.0,147.0962806314606
9.0,126.94684400879498
10.0,135.53660854576327
11.0,111.49303579303448
12.0,100.61439816328155
13.0,91.39028800763272
14.0,86.7365330684115
15.0,91.19812258116895
16.0,108.76135585648599
17.0,153.07445228338682
18.0,155.95555607593832
19.0,153.53791093972842
20.0,146.74416289508275
21.0,140.2276047127632
22.0,126.49151534051349
23.0,112.97934897270817
0.0,98.72461375916966
1.0,95.142907711839
2.0,96.50467180630318
3.0,98.96196471931323
4.0,104.11321189623327
5.0,115.92384593694476
6.0,156.0364467266905
7.0,158.17022210137932
8.0,137.30236665953817
9.0,116.10735111966171
10.0,117.30705548732725
11.0,93.25833904668065
12.0,82.60266886710558
13.0,76.58980898488217
14.0,73.2785920728144
15.0,76.84638185322308
16.0,92.61655920390997
17.0,131.91105666395492
18.0,140.3584742893013
19.0,137.4696048931999
20.0,128.93842525738773
21.0,122.8042510309805
22.0,109.00935631516704
23.0,95.74755054534425
0.0,83.25716962075795
1.0,80.06254259707507
2.0,82.9068546451857
3.0,86.49917351694891
4.0,90.45451651036478
5.0,101.52756652114594
6.0,130.6313302875587
7.0,140.3554127065944
8.0,123.73941630937637
9.0,102.87600558863899
10.0,102.64066378331293
11.0,82.98102426509335
12.0,73.69289780898812
13.0,68.42016640128206
14.0,66.47202190012179
15.0,70.67423997249743
16.0,86.45309696404546
17.0,126.37919972464782
18.0,134.21634332056013
19.0,132.88614240601976
20.0,125.9533098212692
21.0,118.5237649910949
22.0,103.61806419740859
23.0,89.6972939895946
0.0,76.88324058654986
1.0,73.64405639695299
