Hour,Wind Generation,Solar Generation
0.0,0.0,0.036148
1.0,0.0,0.044576000000000005
2.0,0.0,0.023800000000000005
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,16.42431357942886,0.038528
7.0,11.304183435234435,0.17460800000000004
8.0,8.212156789714427,17.719044
9.0,8.012671199680879,66.68309199999999
10.0,6.317043684395715,110.932444
11.0,9.675051116627118,142.20502800000003
12.0,12.368106582080028,154.77742
13.0,10.971707451845186,158.585252
14.0,10.905212255167338,136.60992800000002
15.0,11.337431033573361,106.38417999999999
16.0,12.600839770452502,51.088660000000004
17.0,14.196724490720891,13.333488000000001
18.0,14.263219687398744,0.099876
19.0,15.75936161265036,0.011676000000000002
20.0,13.166048942214223,0.013412
21.0,15.559876022616809,0.021196000000000003
22.0,10.406498280083465,0.01904
23.0,12.102125795368629,0.020776000000000003
0.0,7.04849084785206,0.011676000000000002
1.0,2.9922838505032323,0.0
2.0,4.521673374093775,0.012544000000000001
3.0,3.7237310139595787,0.029008
4.0,1.3631515318959175,0.033124
5.0,2.360579482063661,0.03528
6.0,1.0306755485066692,0.038528
7.0,1.72887511362409,0.231952
8.0,6.017815299345389,14.348544000000002
9.0,8.810613559815076,56.468356
10.0,11.503669025267984,76.55516399999999
11.0,15.260647637566485,97.68222800000001
12.0,16.557303972784556,117.03868399999999
13.0,9.675051116627118,126.97756400000002
14.0,10.971707451845186,134.057728
15.0,9.309327534898946,108.076024
16.0,7.314471634563459,51.31308
17.0,7.480709626258082,11.03536
18.0,7.813185609647328,0.159544
19.0,6.981995651174208,0.019264
20.0,5.086882545855497,0.016436000000000003
21.0,6.184053291040015,0.022512
22.0,8.178909191375503,0.023576
23.0,7.314471634563459,0.006272000000000001
0.0,6.981995651174208,0.022932
1.0,5.05363494751657,0.03701600000000001
2.0,3.9897118006709773,0.04264400000000001
3.0,3.3247598338924806,0.045248
4.0,4.987139750838722,0.0091
5.0,3.9232166039931267,0.002604
6.0,2.6930554654529097,0.029876
7.0,0.13299039335569934,0.279748
8.0,0.0,11.597992
9.0,0.0332475983389241,47.571944
10.0,0.0,78.00699200000001
11.0,4.122702194026677,93.60083600000002
12.0,6.416786479412487,116.55985599999998
13.0,6.91550045449636,98.21352800000001
14.0,8.278651986392278,103.484556
15.0,10.43974587842239,84.104804
16.0,11.07145024686196,64.258796
17.0,9.375822731576797,12.85606
18.0,8.877108756492923,0.095144
19.0,7.979423601341955,0.017079999999999998
20.0,5.05363494751657,0.024444000000000004
21.0,1.9616083019965633,0.029652
22.0,0.0,0.018592
23.0,0.0,0.024024
0.0,0.0,0.015792
1.0,0.0,0.0
2.0,0.0,0.02142
3.0,0.0,0.023156000000000003
4.0,0.0,0.022708000000000002
5.0,0.0,0.021644
6.0,0.0,0.019460000000000005
7.0,0.0,0.107072
8.0,0.0,2.196768
9.0,0.0,39.41081200000001
10.0,0.0,87.83124000000001
11.0,0.0,109.929064
12.0,0.0,146.95632000000003
13.0,0.0,135.6628
14.0,0.0,133.943628
15.0,0.0,103.95086800000001
16.0,0.0,59.33508000000001
17.0,0.0,16.819740000000003
18.0,12.068878197029706,0.127764
19.0,13.166048942214223,0.010164000000000001
20.0,10.905212255167338,0.014504
21.0,6.583024471107113,0.021196000000000003
22.0,1.7953703103019398,0.024892000000000004
23.0,0.0,0.017079999999999998
0.0,0.0,0.012320000000000001
1.0,0.0,0.019460000000000005
2.0,0.0,0.023800000000000005
3.0,0.0,0.019908000000000002
4.0,0.0,0.017304
5.0,0.0,0.012124000000000001
6.0,0.0,0.017304
7.0,0.0,0.024444000000000004
8.0,0.0,1.3153280000000003
9.0,0.0,3.972388
10.0,0.0,9.45322
11.0,0.0,12.905451999999999
12.0,0.0,13.493452
13.0,0.0,13.244336000000002
14.0,0.0,25.958436000000003
15.0,1.9948559003354887,72.43868800000001
16.0,1.3299039335569922,27.472339999999996
17.0,1.6956275152851645,14.9219
18.0,3.3247598338924806,0.3956120000000001
19.0,4.987139750838722,0.014504
20.0,6.017815299345389,0.016016000000000002
21.0,9.508813124932496,0.01666
22.0,11.869392606996158,0.018395999999999996
23.0,13.531772523942397,0.027692000000000005
0.0,12.634087368791427,0.027496
1.0,8.77736596147615,0.034412
2.0,7.74669041296948,0.04090800000000001
3.0,10.50624107510024,0.005852
4.0,10.971707451845186,0.00022400000000000002
5.0,11.07145024686196,0.015596000000000002
6.0,9.076594346526473,0.015372
7.0,7.7134428146305565,0.14389200000000002
8.0,6.383538881073563,4.189836000000001
9.0,5.918072504328617,16.589328000000002
10.0,4.455178177415924,33.159224
11.0,0.3657235817281725,12.049604
12.0,0.0,8.134728
13.0,2.859293457147533,23.26632
14.0,0.0,69.534304
15.0,0.0,7.075908
16.0,0.0,8.328796
17.0,0.0,3.5138320000000003
18.0,4.455178177415924,0.13566
19.0,3.6572358172817276,0.013636000000000002
20.0,0.0,0.020552000000000004
21.0,0.0,0.01862
22.0,0.0,0.015148000000000003
23.0,0.0,0.024892000000000004
0.0,0.0,0.017304
1.0,0.0,0.01428
2.0,5.95132010266754,0.01624
3.0,12.068878197029706,0.011256
4.0,13.19929654055315,0.018395999999999996
5.0,13.731258113975946,0.021868000000000002
6.0,12.334858983741103,0.019264
7.0,10.971707451845186,0.180908
8.0,9.675051116627118,15.728076000000001
9.0,7.513957224597005,62.390468000000006
10.0,3.7237310139595787,109.703496
11.0,2.327331883724737,126.055524
12.0,3.8899690056542022,139.17358000000002
13.0,7.181481241207759,161.12734400000002
14.0,4.654663767449474,141.823948
