hour,load
0.0,659.5524857809522
1.0,619.5991797254377
2.0,621.101267573973
3.0,635.8273027951304
4.0,661.9327702857253
5.0,735.7837084933456
6.0,984.3328113072421
7.0,1102.726664917841
8.0,1012.2794326903118
9.0,874.7753376126796
10.0,892.3886642844783
11.0,789.9130168612184
12.0,724.6311268944031
13.0,679.552863623153
14.0,654.9881844001495
15.0,692.2532566626796
16.0,839.7016861533688
17.0,1172.0438794849276
18.0,1290.3922003546684
19.0,1278.0988973985184
20.0,1205.853122826264
21.0,1127.8927955279712
22.0,970.4649861086519
23.0,814.9288363826734
0.0,659.4765920235399
1.0,617.1698575202923
2.0,615.1693926644846
3.0,631.8375334593405
4.0,655.6884598578949
5.0,724.6930406424636
6.0,954.8054551022383
7.0,1067.389464155634
8.0,984.766127703853
9.0,846.6456129214791
10.0,875.3769339393748
11.0,772.1261102089239
12.0,712.6718148023339
13.0,673.801471649341
14.0,656.3274407354069
15.0,698.1583815870822
16.0,846.9242144409698
17.0,1186.6316857751144
18.0,1299.0612171029115
19.0,1277.4705983830263
20.0,1204.1349746404733
21.0,1127.5014181859553
22.0,976.5954792630347
23.0,830.2064437542064
0.0,689.3843603874285
1.0,646.5982777606089
2.0,644.4510337224033
3.0,659.9280938140686
4.0,684.252828753294
5.0,755.0801599040063
6.0,970.72258748185
7.0,1115.3770333721147
8.0,1023.437765667479
9.0,884.2768518131313
10.0,916.991550182787
11.0,813.9099959099675
12.0,756.4484481533349
13.0,717.9241501749223
14.0,699.6255319577422
15.0,735.0561093424974
16.0,885.6502564690019
17.0,1241.6737299770223
18.0,1336.3703014341827
19.0,1316.9726426295672
20.0,1245.3412904918337
21.0,1172.8105520293439
22.0,1026.573849994427
23.0,884.727500965959
0.0,745.611395221549
1.0,702.8195896109934
2.0,702.2466057515974
3.0,718.6867633896004
4.0,747.5719347088498
5.0,821.1918294560119
6.0,1106.8165114572266
7.0,1192.422304130105
8.0,1073.83629376604
9.0,908.2938579105263
10.0,943.6263653328112
11.0,801.0333152651256
12.0,726.9797255461968
13.0,676.2807052679004
14.0,650.2995812572897
15.0,690.9164563188037
16.0,844.1595345813706
17.0,1210.505853110108
18.0,1307.499549079067
19.0,1291.8321452668047
20.0,1228.948304552005
21.0,1161.955257986457
22.0,1019.71222130428
23.0,885.3518593526459
0.0,755.1111836981372
1.0,725.8307119115975
2.0,735.4741585548409
3.0,757.8939697082993
4.0,787.445524029751
5.0,863.4580393221006
6.0,1128.1137061402997
7.0,1214.9132976310489
8.0,1066.934971479165
9.0,882.9947405563202
10.0,900.537657760459
11.0,755.2716234579469
12.0,680.3452663958179
13.0,636.1549452245164
14.0,618.5859300949704
15.0,655.5926153424872
16.0,804.4807935145966
17.0,1139.4665738260437
18.0,1256.9290995914077
19.0,1239.3579916445317
20.0,1166.5250630518187
21.0,1092.4897265064703
22.0,946.018207402113
23.0,806.0298564822805
0.0,673.1537733828085
1.0,643.1582678514433
2.0,652.3672754188837
3.0,677.679660584487
4.0,711.2002182528043
5.0,784.065516883192
6.0,1018.6492213557715
7.0,1130.8104240585371
8.0,1000.9893980944915
9.0,828.0845438930937
10.0,827.755631441859
11.0,709.688462136202
12.0,651.7164784722546
13.0,615.1161721151259
14.0,603.175626078927
15.0,640.0742964245272
16.0,787.9334547332011
17.0,1108.016642149075
18.0,1233.6863045735347
19.0,1220.3175469586965
20.0,1151.2938387070637
21.0,1074.0655905690753
22.0,922.0653897134664
23.0,779.1368571779079
0.0,653.3436247042007
1.0,617.9487441319552
2.0,623.9990811891782
3.0,646.9104317730754
4.0,679.3964853272572
5.0,756.4257239110754
6.0,1008.7150846408891
7.0,1126.8229432310138
8.0,1018.4557064391503
9.0,855.4457827849452
10.0,862.9697291659776
11.0,755.9377608091262
12.0,697.036957444169
13.0,659.8569026375446
14.0,642.428084042263
15.0,677.881040602298
16.0,825.0646836178798
17.0,1148.0124751410947
18.0,1271.2957809174172
19.0,1255.8686333279638
20.0,1181.4213909012187
21.0,1101.0540017464202
22.0,941.0834486631165
23.0,782.4071698093078
0.0,634.631979662006
1.0,591.0219157784602
2.0,594.4468212795111
3.0,609.735673620718
4.0,638.1378210922439
5.0,714.2460517673762
6.0,972.5017624373534
7.0,1091.982865589315
8.0,995.7552041249822
9.0,849.3270794370576
10.0,867.658666542893
11.0,770.2772322606321
12.0,707.2548728003018
13.0,665.9414802735022
14.0,642.2704693734366
15.0,677.2009775916426
16.0,825.559142335229
17.0,1158.4958810899245
18.0,1278.0170026571923
19.0,1265.9817644084294
20.0,1192.8876261874948
21.0,1116.0422168204573
22.0,961.401604615313
23.0,808.5939832837189
0.0,657.4023223420818
1.0,619.7147718770115
2.0,620.6789315881757
3.0,644.9383662523062
4.0,675.6103509107779
5.0,754.4961257857376
6.0,1002.3953872052051
7.0,1119.1615103569954
8.0,995.5961632276823
9.0,832.5112022287964
10.0,854.4403975419025
11.0,743.6679133184375
12.0,683.1121803816743
13.0,643.0601978988127
14.0,627.4126767505791
15.0,664.7427498988704
16.0,813.9173076225107
17.0,1151.9836123181096
18.0,1263.9112289710026
19.0,1248.6833790965711
20.0,1178.4850581149099
21.0,1102.1603758133167
